,title,authors,categories,description,average_rating,ratings_count
6201,the beatles illustrated lyrics,Alan Aldridge;Beatles,Music,Presents a collection of illustrated Beatle lyrics along with candid commentary on the songs and their origins,4.25,1348.0
6202,the right stuff,Tom Wolfe,Biography & Autobiography,"Enhanced by hundreds of period photographs, presents an illustrated edition of the classic portrait of America's early space program and its first astronauts.",4.25,207.0
6203,macbeth,William Shakespeare,Comics & Graphic Novels,Presents Shakespeare's tragedy of prophecy and royal murder in medieval Scotland in graphic novel format.,3.99,8.0
6204,murder on the orient express,Agatha Christie,Fiction,"While en route from Syria to Paris, in the middle of a freezing winter's night, the Orient Express is stopped dead in its tracks by a snowdrift. Passengers awake to find the train still stranded and to discover that a wealthy American has been brutally stabbed to death in his private compartment. Incredibly, that compartment is locked from the inside. With no escape into the wintery landscape the killer must still be on board. Fortunately, the brilliant Belgian inspector Hercule Poirot is also on board, having booked the last available berth.",4.16,1475.0
6205,the a.b.c. murders,Agatha Christie,Fiction,"A is for Ascher, cudgeled in Andover. B is for Barnard, strangled in Bexhill. C is for Clarke, struck down in Churston. Beside each body is an A.B.C. Railway guide; before each murder Hercule Poirot is notified. In one of Christie's most twisted tales, the meticulous Belgian sleuth must navigate the eerie maze of a serial killer's mind. D is for Doncaster, where the next victim dies... E is for evidence, ingeniously analyzed.",4.0,63488.0
6206,murder at the vicarage,Agatha Christie,Fiction,"When Colonel Protheroe is found dead from a single gun shot wound to the head, none of his neighbors in the village of St. Mary Mead is much surprised. So many people wished this local official would say farewell, if not quite so permanently. With suspects abound and the local police symied it is up to Miss Jane Marple to root out the killer.",4.05,113459.0
6207,the body in the library,Agatha Christie,Fiction,Miss Marple investigates the death of a stylish blonde who is found murdered in front of a library hearth at Grossington Hall.,3.85,43669.0
6208,the murder of roger ackroyd,Agatha Christie,Fiction,"A widow's sudden suicide sparks rumors that she murdered her first husband, was being blackmailed, and was carrying on a secrey affair with the wealthy Roger Ackroyd. The following evening, Ackroyd is murdered in his locked study, but not before receiving a letter identifying the widow's blackmailer. Kings Abbot is crawling with suspects and it's up to famous detective, Hercule Poirot, to solve the case.",4.23,93453.0
6209,evil under the sun,Agatha Christie,Fiction,"When a shrewish stage star is found strangled at a posh island resort, detective Hercule Poirot is called in to investigate.",3.96,34030.0
6210,a murder is announced,Agatha Christie,Fiction,"Miss Marple confronts a party game ""murder"", though the dead man appears to have killed himself, Miss Marple thinks otherwise.",3.98,31050.0
6211,death on the nile,Agatha Christie,Fiction,"Three classic Hercule Poirot mysteries by the grand dame of the genre are reissued, repackaged, and revitalized. ""What more can a mystery addict desire?""--""New York Times.""",4.09,629.0
6212,the mystery of the blue train,Agatha Christie,Fiction,"Now in a digest edition, this classic mystery finds American heiress Ruth Kettering on the luxurious Blue Train, where she's mysteriously murdered. Sleuth Hercule Poirot must now peek into Ruth's secret life.",3.8,21431.0
6213,the illuminati papers,Robert Wilson,"Body, Mind & Spirit","Is history a vast conspiracy? A cosmic joke? Discover the truth - maybe - in the long-awaited new edition of Robert Anton Wilson's classic cult bestseller The Illuminati Papers. Created as a vehicle to amuse and enlighten, the story of the Illuminati has attracted devoted readers world-wide, who have found in it a perfect metaphor for our times. This edition has a new introduction, cover and layout.",3.83,699.0
6214,the south beach diet,Arthur Agatston,Health & Fitness,A renowned cardiologist discusses the importance of understanding the glycemic index values of foods and presents a weight-loss program that includes meal plans and recipes.,3.44,530.0
6215,mangoes & curry leaves,unknown,Cooking,"Explores the food of India, Pakistan, Bangladesh, Nepal, and Sri Lanka to provide readers with a taste of the Subcontinent through recipes that include cashew-coconut meatballs, spicy chickpea fritters, and cumin-coriander beef patties.",4.18,615.0
6216,1000 rings,Marthe Le Van,Crafts & Hobbies,An extensive and diverse collection of one thousand magnificent rings from world-renowned artisans and jewelers is presented in a book of inspiring and detailed photographs. Original.,4.22,80.0
6217,artful paper dolls,Terry Taylor,Crafts & Hobbies,A glimpse into the rich history of paper dolls is accompanied by many charming manufactured and handmade examples.,4.06,57.0
6218,international codes,International Code Council,Building laws,"Provides up-to-date, comprehensive coverage that establishes minimum regulations for building systems using prescriptive and performance-related provisions.",3.5,8.0
6219,international plumbing code 2006,International Code Council,Technology & Engineering,"Provides comprehensive minimum regulations for plumbing facilities in terms of both performance and prescriptive objectives, and provides for the acceptance of new and innovative products, materials and systems""--Publisher description.",3.5,4.0
6220,homelands,Patricia Justine Tumang;Jenesha de Rivera,Social Science,"This beautifully complex collection of essays weaves together many different perspectives of ""homeland,"" including belonging, longing, and exile, and features contributions from Etel Adnan, who chose to leave Beirut during wartime, and Agate Nesaule, who left Latvia under Nazi and Soviet threats. Original.",4.43,42.0
6221,sukhoi su-27 flanker,Yefim Gordon;Peter Davison,History,"Recognized as one of the best fighters of the 1990s, the Su-27 Flanker is a single-seat supersonic interceptor that is often declared the finest and most successful fighter of the Cold War era. Designed by Sukhoi OKB, the imposing fighter quickly gained popularity and respect from countries all across the globe. Intended to be a direct competitor to the new generation of American fighters such as the F-15, the Su-27 was designed with outstanding range, heavy armament, and high agility. Excellent performance, handling, and serviceability have made the aircraft popular with its pilots and ground personnel alike. Equipped with an analog fly-by-wire control system, a full avionics suite, and up to 10 air-to-air missiles, the Flanker also features a rearward-facing radar between the engines, allowing it to fire at targets behind the aircraft. Outfitted with two Lyul'ka AL-31F turbofans, each 12,500 kgp (27,557 lb st) with afterburning, the Su-27's high thrust-to-weight ratio and refined aerodynamics allow superb flight characteristics at high angles of attack. Yefim Gordon and Peter Davison are the authors of several books on Soviet aircraft including the Specialty Press titles Mikoyan Gurevich MiG-29 Fulcrum and Mikoyan Gurevich MiG-15 Fagot. Over 300 photos illustrate the story of the Su-27. Topics covered include design, development, structural detail, international production, trials, upgrades and generations, comparisons, overseas sales, and much more. This book is a must have for all warbird enthusiasts!",3.0,6.0
6222,hungry planet,Peter Menzel;Faith D'Aluisio,Cooking,"""A photographic collection exploring what the world eats featuring portraits of thirty families from twenty-four countries surrounded by a week's worth of food""--Provided by publisher.",4.44,1420.0
6223,maple syrup cookbook,Ken Haedrich,Cooking,Maple Syrup Cookbook 8-Copy Display contains:8-Maple Syrup Cookbook ISBN 1580174043,3.82,38.0
6224,cider,Annie Proulx;Lew Nichols,Cooking,"The Pilgrims drank cider as they sailed to America aboard the Mayflower. John Adams had a tankard of cider every morning at breakfast. After a long day on safari, Ernest Hemingway liked to kick back beside the campfire with a glass of cider. And Robert Frost saluted his favorite beverage with a poem titled ?In A Glass of Cider.? Neck and neck with brewing beer at home is the resurgence of making cider. Whether sweet, hard, blended, or sparkling, trend watchers say cider, once the preferred beverage of early America, could very well become the drink of the future. (Hard cider is the fastest growing segment of the beverage industry.) Keeping pace with the commercial cider producers are small-scale and individual cider makers who have discovered how easy it is to make their own. After all, the only ingredient you need is an apple. In this updated edition of Cider, Annie Proulx and Lew Nichols take you step-by-step through the process that renders fruit into a refreshing drink. In addition to learning about the equipment you?ll need to make a glorious cider, Proulx and Nichols also discuss the pros and cons of various types of apple presses ? from traditional heavy grinders to sleek hydraulic presses. You?ll also learn about the glass bottles vs. wooden barrels debate; how to filter, fine, and rack your cider; and where and how to store it. Proulx and Nichols provide detailed recipes for making six types of cider: still, sparkling, champagne, barrel, French, and flavored, with advice on which apples to use to achieve a tart, aromatic, astringent, or neutral quality in your cider. In fact, this book is brimming with expert advice on cidermaking. If you want to plant your own apple orchard, this book has an entire chapter that lists which cultivars of apples thrive in which parts of the United States and Canada, along with each cultivar?s characteristics and when it is ready for harvesting. Another chapter explains how to care for an orchard, from improving the soil to pruning and thinning the trees to fighting off pests and wildlife. Once a cidermaker has learned how to make excellent cider, he or she is likely to look for further fields t o explore. With that in mind, the authors include a chapter on making cider vinegars and brandy and using cider in cooking. Finally, Proulx and Nichols walk you through the latest federal regulations covering the production and sale of homemade cider in the United States and Canada, and they familiarize you with the kind of impact state and provincial laws can make.The clear, simple language, numerous illustrations, and detailed step-by-step directions make it easy for even novices to become skilled cidermakers. This revised edition of the classic handbook is a complete guide for anyone who wants to discover the pleasure of making ? and drinking ? fresh cider.",3.64,175.0
6225,doyle brunson's super system,Doyle Brunson,Games & Activities,"Twice-world champion and Hall of Famer Doyle Brunson and five leading experts in their various specialties tell you when to raise, call, bet, and fold at hold 'em (limit and no-limit), 7-stud (high and low), draw poker, and lowball. Collaborators David ""Chip"" Reese, Mike Caro, David Sklansky, Joey Hawthorne, and former world champion Bobby Baldwin. This treatise on professional-level poker is the result of over 10,000 hours of labor by the world's greatest players and theorists and has never been equaled in scope or value. This is the must-have book for serious poker players.",3.94,2006.0
6226,a christmas carol,Charles Dickens,Fiction,"This Prestwick House Literary Touchstone Edition includes a glossary and reader's notes to help the reader fully appreciate the beauty and humor of Dickens's work.In his ""Ghostly little book,"" Charles Dickens invents the modern concept of Christmas Spirit and offers one of the world's most adapted and imitated stories. We know Ebenezer Scrooge, Tiny Tim, and the Ghosts of Christmas Past, Present, and Future, not only as fictional characters, but also as icons of the true meaning of Christmas in a world still plagued with avarice and cynicism.",4.04,6415.0
6227,the red badge of courage,Stephen Crane,Juvenile Nonfiction,"As he faces battle in the Civil War for the first time, a young Union soldier comes to grips with his fear and conflicting emotions about war. This edition includes Crane's short sequel, The veteran.",3.23,74477.0
6228,sun tzu,Sun-tzu;Gerald A. Michaelson,Business & Economics,"Learn the strategic rules of Sun Tzu and how to incorporate them into your management style. In this translation of The Art of War readers will benefit from the interpretations from other translators and strategist, as well as the 50 strategic rules, including: How to look for strategic turns to meet the competition How to attain strategic superiority and crush the competition How to plan surprise and stay ahead of the game And more timeless wisdom that will allow you to compete and win in the dynamic business environment! Business managers around the world have tapped into this ancient wisdom; it is time to master The Art of War for Managers for the existence and growth of your business!",3.8,290.0
6229,please stop laughing at me,Jodee Blanco,Biography & Autobiography,"In her poignant work, Jodee Blanco tells how school became a frightening and painful place, where threats, humiliation, and assault were as much a part of her daily experience as bubblegum and lip-gloss were for others. It is an unflinching look at what it means to be an outcast, how even the most loving parents can get it wrong, why schools fail, and how bullying is both misunderstood and mishandled.",3.84,9515.0
6230,the stephen king universe,Stanley Wiater;Christopher Golden;Hank Wagner,Literary Criticism,"""I am coming to understand that Roland's world actually contains all the others of my making"" --Stephen King With those words, from The Dark Tower: IV Wizard and Glass, the world's most popular writer confirmed a suspicion long held by readers--that the myriad worlds and universes King has created are, in reality, one world, one universe. Here, for the first time ever is the guide to that universe, a thrilling road map and informative tour for new readers and diehard fans alike. The Stephen King Universe is the very first examination of all of King's fiction and the way in which its plots and characters, conflicts, and themes, intertwine. This definitive reference work examines his novels and short stories, as well as the motion pictures, miniseries, and teleplays that King has written. The authors spent three years discovering and tying together the threads that exist in King's fiction. Their insightful results will entertain and surprise readers new and old. Once you have read The Stephen King Universe, you will never read Stephen King the same way again",4.14,6241.0
6231,new york 2000,Robert A. M. Stern;David Fishman;Jacob Tilove,Architecture,"""Featuring insightful discussions on the development of Battery Park City, the rebirth of Harlem and Times Square, the creation of the cultural precinct around the new MoMA, and the reclaiming of the waterfront along the East and Hudson Rivers as recreational parkland, New York 2000 documents ongoing commitments to innovation and renovation and celebrates the achievements of internationally recognized architects, including Sir Norman Foster, Cesar Pelli, Richard Meier, and Renzo Piano."" ""The survey of organized geographically, beginning in Lower Manhattan and moving north through Harlem and to the outer boroughs including the Bronx, Queens, Brooklyn, and Staten Island. Woven throughout is commentary on the repercussions of September 11, 2001, New York 2000 is a thorough study of how a world-class metropolis preserves, showcases, and constructs an architectural heritage that endures over the course of two centuries.""--BOOK JACKET.",4.47,15.0
6232,glass house,Toshio Nakamura,Architecture,"The Glass House, designed by celebrated architect Philip Johnson as a personal retreat, is an icon of modern architecture. A crystalline box set in a serene New England landscape, the house is now owned by the National Trust for Historic Preservation, which will open it to visitors in April 2007. Johnson used his property near New Canaan, Connecticut, as an architectural laboratory, adding nine additional structures over a forty-year period. Among them are the Ghost House, a chain-link tribute to Frank Gehry, and the witty, bright red Gate House. Glass House is a unique presentation of the Glass House complex in words and photographs. Compiled by eminent critic Toshio Nakamura under the sponsorship of YKK AP Inc., the volume features a specially commissioned suite of photographs, taken throughout the four seasons, by renowned architectural photographer Michael Moran, including cross-processed images and images taken with infrared film. The deluxe graphic presentation, with distinctive paper stocks and foldout pages reproducing Johnson's original drawings, was conceived by designer Michael Rock of 2x4.",4.0,14.0
6233,this present darkness ; piercing the darkness,Frank E. Peretti,unknown,no description,4.54,2708.0
6234,the hidden smile of god,John Piper,Religion,"The author of ""Comforting God"" takes an inspiring look at the words and examples of three early Christians--William Cowper, John Bunyan, and David Brainerd--and how their faith in adversity encourages us to rest in the sovereignty of God amid our own difficulties.",4.33,636.0
6235,the gospel according to job,Mike Mason,Religion,"Arranged as a series of meditations on selected passages from one of the Bible's most beloved books, this book is for Christians who, like Job, are experiencing deep suffering and a sense of separation from God.",4.43,133.0
6236,prophet,Frank E. Peretti,Fiction,"Anchorman John Barrett knows something is wrong. The story doesn't add up. Prompted by extraordinary spiritual experiences, he begins to uncover a story about abortion that no one wants to hear.",3.94,12479.0
6237,piercing the darkness,Frank E. Peretti,Fiction,"In the tiny farming community of Bacon's Corner, an attempted murder, a case of mistaken identity, and a lawsuit against a struggling Christian school all lead Sally Beth Roe to flee for her life",4.31,48725.0
6238,this present darkness,Frank E. Peretti,Fiction,A prayerful pastor and a skeptical reporter compare notes and find themselves fighting a plot to subjugate the human race. A gripping look into the invisible spiritual warfare around us and the power of prayer.,4.23,82841.0
6239,the passion of jesus christ,John Piper,Religion,"Fifty Reasons Why Jesus Came to Die The most important questions anyone can ask are: Why was Jesus Christ crucified? Why did he suffer so much? What has this to do with me? Finally, who sent him to his death? The answer to the last question is that God did. Jesus was God's Son. The suffering was unsurpassed, but the whole message of the Bible leads to this answer. Why did Christ suffer and die? The central issue of Jesus' death is not the cause, but the meaning-God's meaning. That is what this book is about. John Piper has gathered from the New Testament fifty reasons. Not fifty causes, but fifty purposes-in answer to the most important question that each of us must face: What did God achieve for sinners like us in sending his Son to die?",4.23,6007.0
6240,when i don't desire god,John Piper,Religion,"For over twenty-five years John Piper has trumpeted the truth that “God is most glorified in us when we are most satisfied in him.” He calls it Christian Hedonism. The problem is that many people, after being persuaded, find that this truth is both liberating and devastating. It’s liberating because it endorses our inborn desire for joy. And it’s devastating because it reveals that we don’t desire God the way we should. What do you do when you discover the good news that God wants you to be content in him, but then find that you aren’t? If joy in God were merely the icing on the cake of Christian commitment, this book would be insignificant. But Piper argues that joy is so much more. Our being satisfied in God is necessary to show God’s worthiness and to sustain sacrifices of love. Jesus endured the cross for the joy that was set before him. He tasted it. It sustained him through the deepest suffering. His Father was glorified. His people were saved. That is what joy in God does. The absolutely urgent question becomes: What can I do if I don’t have it? With a pastor’s heart and with radical passion for the glory of Christ, John Piper helps you answer that question.",4.18,4131.0
6241,suffering and the sovereignty of god,John Piper;Justin Taylor,Religion,"John Piper and other contributors explore the many categories of God's sovereignty as evidenced in his Word, helping readers form a biblical view of suffering.",4.31,621.0
6242,the legacy of sovereign joy,John Piper,Religion,"The lives of Augustine, Luther, and Calvin reveal the glory and grace of a perfect God in the imperfect lives of his faithful servants.",4.26,794.0
6243,when the darkness will not lift,John Piper,Religion,"John Piper examines depression from a spiritual perspective, guiding and encouraging those for whom joy seems to stay out of reach.",4.12,1173.0
6244,face off,Harry Hamernik,Art,"Discover the fast, fun art of drawing comic portraits! Face Off shows you how to draw life like never before. Caricaturist Harold Hamernik shares the secrets to capturing the sillier side of friends, family, celebrities, strangers—any face that crosses your path. 40 step-by-step demonstrations show you how to sketch whimsical and expressive likenesses while developing your own quick, loose, improvisational style. You'll get expert instruction on: Drawing eyes, noses, mouths and other features. Creating portraits in front, three-quarter and profile views. Adding color to your caricatures, either by hand or via computer—instruction you won't find in any other book! Tips for making a likeness more masculine (skip the eyelashes), more feminine (lengthen the neck), younger, older, sexier, goofier—all while making a portrait your subject will love. How to draw hair as two simple lines, why drawing the parts of a face in the same order every time can cut minutes off your work, and tons of other handy tricks of the craft! Practice the simple techniques in this book, then start drawing! It's the most fun you can have with paper, pencils and markers!",4.03,65.0
6245,simply beautiful beaded jewelry,Heidi Boyd,Crafts & Hobbies,"If gorgeous beaded jewelry always catches your eye, you'll love making (and wearing!) your own necklaces, bracelets and earrings. Simply Beautiful Beaded Jewelry includes 50 projects plus variations in designer Heidi Boyd's simply elegant signature style. Inside you're bound to find plenty of designs to strike your fancy as well as a helpful section that shows you the basic supplies and techniques you'll need to get started. As an added bonus, many of the projects have variations in different colors and styles to help you customize your jewelry to your personal style. &break;&break;Just think how proud you'll feel the first time you can answer, ""I made it myself"" to a compliment on your fabulous new multistrand necklace or your sparkling, swingy crystal earrings. With Simply Beautiful Beaded Jewelry, it truly is easy to get started–in no time at all you'll be showcasing your own original beaded creations and making them as gifts.",3.75,61.0
6246,the southern haunting of truman capote,Marie Rudisill;James Coleman Simmons,Literary Criticism,"Like many Southern writers of the 1930s and 1940s, who as a group created the richest, most memorable body of regional literature in the history of American letters. Truman Capote eventually journeyed northward. As the years passed, Capote's moorings to his Southern past grew weaker and weaker and he deliberately cut himself off from the people and places that provided fodder for much of his early fiction. The Southern Haunting of Truman Capote is a thoughtful reflection on the literary origins of four of Capote's important early works - A Christmas Memory, The Grass Harp, Children on Their Birthdays and Other Voices, Other Rooms - in light of the boyhood experiences that inspired those four works. Marie Rudisill, a younger sister of Capote's mother and the only one of her nephew's companions to have known him well his whole life, was in touch with him for more than seventy years As early as the mid-1940s, Marie Rudisill realised that her nephew was destined for literary greatness. She began hoarding his letters, newspaper clippings, articles, personal mementoes - anything that might prove useful later as a record of his life. During their many telephone conversations, whenever Cap",3.96,25.0
6247,shoofly pie,Tim Downs,Fiction,"Forensic entomologist Nick Polchak (a.k.a. the Bug Man) is hired by 30-year-old Kathryn Guilford, who is terrified of bugs, to solve her friend's death. When Polchak stumbles into the mystery of how Kathryn's husband was killed years earlier, Polchak finds himself on the run with his client from someone who will do anything to keep a secret.",4.18,1381.0
6248,chop shop,Tim Downs,Fiction,"Intern forensic pathologist Dr. Riley McKay has noticed irregularities in autopsies at the Allegheny County Coroner's lab. Suspecting foul play, she seeks help from Dr. Nick Polchak, the ""bug man"" renowned for his ability to solve murders by analyzing the insects on victim's bodies. Nick and Riley uncover a sinister link between the lab's director and PharmaGen, a start-up drug company specializing in genetic research. They also discover that PharmaGen fronts an underground system to procure transplant organs for wealthy clients by finding and murdering matching donors. But PharmaGen learns of their security breach and orders the couple destroyed. While staying a step ahead of PharmaGen assassins, romantic attraction develops between Nick and Riley. But the attraction is complicated by a tragic secret that Riley hides -- a secret closely tied to one member of PharmaGen's operation which propels the novel to its astonishing conclusion.",4.22,899.0
6249,schott's original miscellany,Ben Schott,Reference,"Impossible to read at one sitting, but utterly unputdownable, Schott's Original Miscellany is a unique collection of fabulous trivia. What other book boasts an index that includes shoelace lengths, sign language, and the seven deadly sins; dueling and dwarves; the hair color of Miss America and the Hampton Court maze? Where else can you find, packed onto one page, the names of golf strokes, a history of the Hat Tax, cricketing dismissals, nouns of assemblage, an unofficial motto of the US Postal Service, and the flag of Guadeloupe? Where else but Schott's Original Miscellany will you stumble across John Lennon's cat, the supplier of bagpipes to the Queen, the labors of Hercules, and the brutal methods of murder encountered by Miss Marple? A book like no other, Schott's Original Miscellany is entertaining, informative, unpredictable, and utterly addictive.",4.08,1349.0
6250,soldiers of salamis,Javier Cercas;Anne McLean,Fiction,"Facing a firing squad at the end of the Spanish Civil War, Nationalist Rafael Snchez Mazas escapes his executioners into the nearby forest, where he is discovered by an unknown soldier who refuses to kill him, in a historical novel that sheds light on the events surrounding a real-life incident. Reprint. 10,000 first printing.",3.79,398.0
6251,the line of beauty,Alan Hollinghurst,Fiction,"Moving into the attic room in the Notting Hill home of the wealthy, politically connected Fedden family in 1983, twenty-year-old Nick Guest becomes caught up in the rising fortunes of this glamorous family and finds his own life forever altered by his association during the boom years of the 1980s. By the author of The Swimming-Pool Library. Reprint.",3.73,364.0
6252,a year in the merde,Stephen Clarke,Fiction,"An entertaining memoir of the author's adventures and experiences as an expatriate living in Paris describes the life and times of a young British man brought to Paris by a French company to open a chain of British tea rooms, detailing his dealings with lazy French employees, a scheming boss, lusty girlfriends, and French culture. Reprint.",3.55,11116.0
6253,safety behind bars,Robert Kirkman;Charlie Adlard;Cliff Rathburn,Comics & Graphic Novels,"Rick Grimes attempts to lay down roots in a maximum-security prison, which he anticipates will be an easily defensible base, until he and his partners encounter four zombies, with whom they establish a tenuous truce.",4.31,25132.0
6254,the best defense,Robert Kirkman;Charlie Adlard;Cliff Rathburn,Comics & Graphic Novels,"Rick mounts a mission to rescue a crashed helicopter but discovers that another group has beat him, while back at the prison, the group tries to restore electrical power by siphoning gas for the generator from abandoned cars in the parking lot.",4.29,20937.0
6255,fell,Warren Ellis;Ben Templesmith,Comics & Graphic Novels,"Detective Richard Fell is transferred over the bridge from the big city to Snowtown, a collapsing urban trashzone. In a place where nothing seems to make any sense, Fell clings to the one thing he knows to be true: everybody's hiding something.",4.16,6659.0
6256,the walking dead,Robert Kirkman,"Comic books, strips, etc",Police officer Rick Grimes and a few human survivors battle hordes of decomposing zombies.,0.0,0.0
6257,a complicated kindness,Miriam Toews,Fiction,"A witty, beleaguered teenager whose family is shattered by fundamentalist Christianity balances grief and hope in this coming-of-age novel. Left alone with her sad, peculiar father, she spends her days piecing together why her mother and sister left.",3.65,17112.0
6258,d.h. lawrence,John Worthen,Biography & Autobiography,"A portrait of one of the twentieth century's most radical and misunderstood writers follows Lawrence from his awkward youth in Nottinghamshire, through his turbulent relationship with Frieda and the years of exile abroad, to his premature death at the age of 44.",4.02,56.0
6259,the horizontal world,Debra K. Marquart,Biography & Autobiography,"An evocative memoir of growing up on a family farm in rural North Dakota, on land her family had worked for generations, reflects on her desire to escape the difficult life, her relationship with and admiration for her father, and the influence of place on personal identity.",3.77,381.0
6260,agnes grey,Anne Brontë,England,no description,3.68,37.0
6261,write great fiction - plot & structure,James Scott Bell,Language Arts & Disciplines,"Craft an Engaging Plot How does plot influence story structure? What's the difference between plotting for commercial and literary fiction? How do you revise a plot or structure that's gone off course? With Write Great Fiction: Plot & Structure, you'll discover the answers to these questions and more. Award-winning author James Scott Bell offers clear, concise information that will help you create a believable and memorable plot, including: Techniques for crafting strong beginnings, middles, and ends Easy-to-understand plotting diagrams and charts Brainstorming techniques for original plot ideas Thought-provoking exercises at the end of each chapter Story structure models and methods for all genres Tips and tools for correcting common plot problems Filled with plot examples from popular novels, comprehensive checklists, and practical hands-on guidance, Write Great Fiction: Plot & Structure gives you the skills you need to approach plot and structure like an experienced pro.",4.1,4304.0
6262,lithium for medea,Kate Braverman,Fiction,"Probes the strained relationships between a woman and her abrasive mother, her cancer-stricken father, an ex-husband who is permanently tuned into Star Trek, and Jason, her erotic but higly manipulative lover. Reprint.",3.94,331.0
6263,9-11 [neuf-onze],Noam Chomsky;Institute Professor & Professor of Linguistics (Emeritus) Noam Chomsky,Political Science,"Presents a series of interviews conducted during the first month following the terrorist attacks of September 11, 2001, that discuss reactions to the attacks in the U.S. and abroad, U.S. foreign policy, and the new war on terrorism.",3.73,2981.0
6264,the hip chick's guide to macrobiotics,Jessica Porter,Health & Fitness,Provides a detailed overview of the health benefits of eating a macrobiotic diet and combines cooking tips and recipes with practical advice on how to strengthen one's body and mind through eating high-quality whole foods.,3.68,419.0
6265,rumble fish,Marcus Romer;S. E. Hinton,Juvenile Fiction,A two-act play adapted from S. E. Hinton's classic novel about two brothers who search for identity and acceptance within the gangs.,3.87,885.0
6266,posing for portrait photography,Jeff Smith,Photography,"Jeff Smith teaches surefire techniques for achieving flattering results, detailing the principles of posing the entire body - head, shoulders, arms, hands, bust, waist, hips, thighs and feet. With an emphasis on creating images that will sell themselves, readers will learn to correct common figure problems and design poses that look natural, crafting images that clients are sure to love.",3.38,48.0
6267,healthy cooking for ibs,Sophie Braimbridge;Erica Jankovich,Cooking,"A noted chef and a dietician join forces to create one hundred delicious recipes specifically tailored to the needs of those suffering from Irritable Bowel Syndrome (IBS), featuring an array of dishes for breakfasts, breads, snacks, appetizers, soups, salads, main courses, and desserts, along with information on the syndrome and nutritional and dietary recommendations. Original.",2.62,2.0
6268,homeless,Laurie Halse Anderson,Juvenile Fiction,Sunita and her fellow volunteers at the Wild at Heart veterinary clinic become involved in efforts to save a bunch of feral and abandoned cats with the help of Dr. Mac.,4.07,401.0
6269,teacher's pet,Laurie Halse Anderson,Juvenile Fiction,"Adjusting to middle school becomes easier for twelve-year-old Maggie when she finds that her biology teacher, who is blind, can learn a few things from her about working with his guide dog.",4.07,170.0
6270,"the fateful adventures of the good soldier švejk during the world war, book one","Jaroslav Hašek;Zdeněk ""Zenny"" K. Sadlon",Fiction,"vejk represents one of the most unique and successful survival strategies ever conceived by man. Joseph Heller said that if it weren't for his having read The Good Soldier vejk he would never had written his American novel Catch-22. The only Czech book on most 100 Best Books of the 20th Century lists. This is a new translation by Zdenek K. Sadlon and Emmett M. Joyce. The Good Soldier vejk is a picaresque series of tales about an ordinary man's successful quest to survive, and to enjoy life in the face of the endless absurdities imposed on him by the effects of the complex institutions of modern society that magnify the rational and moral shortcomings of individuals in direct proportion to their positions in the hierarchies they are a part of. ""Like Diogenes, vejk lingers at the margins of an unfriendly society against which he is defending his independent existence."" - Peter Steiner ""Those people who wanted the novel banned in the newly independent Czechoslovakia (after World War I) and elsewhere, some of whom succeeded, were quite correct to see it as more than a satire on war and militarism (although it is that, as well, of course) the book is a very funny but unrelentingly savage assault on the very idea of bureaucratic officialdom as a human enterprise conferring benefits on those who live under its control and, equally important, on the various justifications such bureaucracies offer for their own existence."" - Ian Johnston",4.11,21.0
6271,childhood shadows,Mary Pacios,True Crime,"The people of Scerone gathered in the Ring of Challenge. They had come to witness the passing of their beloved Amulet from one Guardian to the next, as well as the fulfilling of the ancient prophecy that would unite the two great powers of their land. But instead, betrayal and subterfuge plunged their world into chaos. The Amulet, (a powerful talisman that holds most of their world's magic) is sentenced to fifty years of silence, and worse, helplessness. The talisman is secreted away, hidden from the treacherous Queen whose one desire is to claim its powers as her own. For fifty years the power of the Amulet is trapped within the golden walls of its domain, waiting for the time when it can summon the next young woman who will serve as Guardian and wield its power. Jessica Spencer cannot explain the recurring dream that beckons to her. Every morning the message of the dream is lost leaving her with an aching desire to fulfill a fate she cannot even remember. Fifty years later, they gather once again in the Ring of Challenge, hoping to see an end to the reign of terror that began with the silencing of the Amulet half a century ago. The High Queen, who desires nothing more than to weild the power herself, the fair-haired child who is slowly realizing the fate her dreams have only hinted at, their Protector and Champion come together in the Ring of Challenge to once again decide the destiny of the Scerone. Fair-haired child full of grace",3.5,46.0
6272,sophocles: the theban plays,Sophocles,Drama,"English translations of three of Sophocles' Oidipous Cycle: King Oidipous, Oidipous at Colonus, and Antigone. Focus Classical Library provides close translations with notes and essays to provide access to understanding Greek culture.",3.97,54.0
6273,aristophanes' acharnians,Aristophanes;Jeffrey Henderson,Drama,"English translation of Aristophanes' hilarious indictment against war, with an introductory essay and helpful notes. Essay includes biographical information on Aristophanes, the history of the play and its production, a bibliography and suggestions for further reading.",3.42,23.0
6274,m is for mayflower,Margot Theis Raven;Jeannie Brett,Juvenile Nonfiction,Presents information about the state of Massachusetts in an alphabetical arrangement.,4.0,26.0
6275,o is for old dominion,Pamela Duncan Edwards;Troy Howell,Juvenile Nonfiction,"Explores the heritage and history of Virginia, offering historical facts for each letter of the alphabet.",3.75,19.0
6276,the age of access,Jeremy Rifkin,Business & Economics,"Examines the changes in American business, and shows how accessing experiences is the key to power in business.",3.84,215.0
